threshold,tp,tn,fp,fn,n,positives,negatives,flagged,passed,recall,specificity,fpr,fnr,precision,npv,accuracy,f1,recall_lo,recall_hi,fpr_lo,fpr_hi
0.8116153693586483,50,731,121,4,906,54,852,171,735,0.9259259259259259,0.857981220657277,0.142018779342723,0.07407407407407407,0.29239766081871343,0.9945578231292517,0.8620309050772627,0.4444444444444444,0.8292508710801393,1.0,0.1165119273515858,0.16884661117717004
0.8129529882189584,50,733,119,4,906,54,852,169,737,0.9259259259259259,0.8603286384976526,0.1396713615023474,0.07407407407407407,0.2958579881656805,0.994572591587517,0.8642384105960265,0.4484304932735426,0.8292508710801393,1.0,0.11547344110854503,0.16368086426789266
0.8135384156300464,50,734,118,4,906,54,852,168,738,0.9259259259259259,0.8615023474178404,0.13849765258215962,0.07407407407407407,0.2976190476190476,0.994579945799458,0.8653421633554084,0.45045045045045046,0.8292508710801393,1.0,0.11368710443581048,0.16290979098700656
0.816262762701283,50,735,117,4,906,54,852,167,739,0.9259259259259259,0.8626760563380281,0.13732394366197184,0.07407407407407407,0.2994011976047904,0.9945872801082544,0.8664459161147903,0.45248868778280543,0.8292508710801393,1.0,0.11228604654971909,0.16265273357581267
0.8174261551999275,50,736,116,4,906,54,852,166,740,0.9259259259259259,0.863849765258216,0.13615023474178403,0.07407407407407407,0.30120481927710846,0.9945945945945946,0.8675496688741722,0.45454545454545453,0.8292508710801393,1.0,0.11200878068406257,0.16052427466598906
0.8178054887778469,50,737,115,4,906,54,852,165,741,0.9259259259259259,0.8650234741784038,0.13497652582159625,0.07407407407407407,0.30303030303030304,0.9946018893387314,0.8686534216335541,0.45662100456621,0.8292508710801393,1.0,0.1114981577155673,0.15930441915378488
0.8224198884134696,50,738,114,4,906,54,852,164,742,0.9259259259259259,0.8661971830985915,0.13380281690140844,0.07407407407407407,0.3048780487804878,0.9946091644204852,0.869757174392936,0.45871559633027525,0.8292508710801393,1.0,0.1099361951258236,0.15821039189457348
0.8248555955068456,50,739,113,4,906,54,852,163,743,0.9259259259259259,0.8673708920187794,0.13262910798122066,0.07407407407407407,0.3067484662576687,0.9946164199192463,0.8708609271523179,0.4608294930875576,0.8292508710801393,1.0,0.10921501706484642,0.15684305068012286
0.8256898313044186,50,740,112,4,906,54,852,162,744,0.9259259259259259,0.8685446009389671,0.13145539906103287,0.07407407407407407,0.30864197530864196,0.9946236559139785,0.8719646799116998,0.46296296296296297,0.8292508710801393,1.0,0.10915227443547595,0.1544813792226867
0.8273536263183146,50,742,110,4,906,54,852,160,746,0.9259259259259259,0.8708920187793427,0.12910798122065728,0.07407407407407407,0.3125,0.9946380697050938,0.8741721854304636,0.4672897196261682,0.8292508710801393,1.0,0.10763456825037708,0.15180722891566265
0.8275410776816143,50,743,109,4,906,54,852,159,747,0.9259259259259259,0.8720657276995305,0.12793427230046947,0.07407407407407407,0.31446540880503143,0.9946452476572959,0.8752759381898455,0.4694835680751174,0.8292508710801393,1.0,0.10532404130489492,0.15101241242440056
0.8276993437046418,49,743,109,5,906,54,852,158,748,0.9074074074074074,0.8720657276995305,0.12793427230046947,0.09259259259259259,0.310126582278481,0.9933155080213903,0.8741721854304636,0.46226415094339623,0.8162887377173091,0.9761904761904762,0.10532404130489492,0.15101241242440056
0.8283447854084972,49,744,108,5,906,54,852,157,749,0.9074074074074074,0.8732394366197183,0.1267605633802817,0.09259259259259259,0.31210191082802546,0.9933244325767691,0.8752759381898455,0.46445497630331756,0.8162887377173091,0.9761904761904762,0.10519896698469353,0.1486337921339504
0.8291866115186752,49,745,107,5,906,54,852,156,750,0.9074074074074074,0.8744131455399061,0.1255868544600939,0.09259259259259259,0.3141025641025641,0.9933333333333333,0.8763796909492274,0.4666666666666667,0.8162887377173091,0.9761904761904762,0.10483098235360234,0.1465463881014711
0.8302301140726654,49,746,106,5,906,54,852,155,751,0.9074074074074074,0.8755868544600939,0.12441314553990611,0.09259259259259259,0.3161290322580645,0.9933422103861518,0.8774834437086093,0.4688995215311005,0.8162887377173091,0.9761904761904762,0.10418967063042658,0.14536928487690504
0.8308919323060732,49,747,105,5,906,54,852,154,752,0.9074074074074074,0.8767605633802817,0.12323943661971831,0.09259259259259259,0.3181818181818182,0.9933510638297872,0.8785871964679912,0.47115384615384615,0.8162887377173091,0.9761904761904762,0.10407239819004525,0.14370229477015403
